"","id","mus1.1listentorecordedmusic","mus1.1listentorecordedmusic_times","mus1.2singaloneorwithothers","mus1.2singaloneorwithothers_times","mus1.3lookatbooks","mus1.3lookatbooks_times","mus1.4playwithmusicalinstruments","mus1.4playwithmusicalinstruments_times","mus1.5makepaintingsordrawings","mus1.5makepaintingsordrawings_times","mus2.1dophysicalexercise","mus2.1dophysicalexercise_times","mus2.2danceormovetomusic","mus2.2danceormovetomusic_times","mus2.3attendmusicclasseslessons","mus2.3attendmusicclasseslessons_times","mus3.1Ireadbookstomybaby","mus3.1Ireadbookstomybaby_times","mus3.2isangtomybaby","mus3.2isangtomybaby_times","mus3.3iplayedmusicalinstrumentswithmybaby","mus3.3iplayedmusicalinstrumentswithmybaby_times","mus3.4iplayedrecordedmusicformybaby","mus3.4iplayedrecordedmusicformybaby_times","mus3.5imadepaintingsordrawingswithmybaby","mus3.5imadepaintingsordrawingswithmybaby_times","mus4.1itookmybabytoconcertstohearlivemusic","mus4.1itookmybabytoconcertstohearlivemusic_times","mus4.2itookmybabytoartmuseums","mus4.2itookmybabytoartmuseums_times","mus4.3itookmybabytomusicclasses","mus4.3itookmybabytomusicclasses_times","mus5.1isanglullabiesorothersongs","mus5.1isanglullabiesorothersongs_times","mus5.2iplayedrecordedmusic","mus5.2iplayedrecordedmusic_times","mus5.3ispokerhymesorpoemstomybaby","mus5.3ispokerhymesorpoemstomybaby_times","mus5.4imadecooingorshushingsounds","mus5.4imadecooingorshushingsounds_times","mus5.5irubbedmybaby.sback","mus5.5irubbedmybaby.sback_times","cbcl_total","age","education_year","female","child_exposure","lui_raw","lui_percentile","cdi_raw","cdi_percentile","emq_g","emq_pa","bilingual","bilingual_speaks","lab","graddegree","music","music_infant_total","music_current_total","music_total","htp","peabody_grasping","peabody_visualmotor","stp","DOB","BornBeforeApril2019","music_infant_total_times","music_current_total_times","music_total_times","non_music_total_times","non_music_total"
"51",543,7,270,4,15,7,270,4,15,4,15,7,6,7,6,1,0,6,180,5,75,4,15,7,270,3,4,2,0.17,2,0.17,6,4,4,1,4,1,3,0.5,5,1.5,5,1.5,NA,26,18,0,100,78,39,69,60,42,47,0,0,0,1,0,32,23,55,NA,NA,NA,NA,"February 22, 2019",1,366.17,306,672.17,477.17,37
"52",544,5,75,4,15,6,180,1,0.75,3,4,7,6,6,4,6,4,4,15,4,15,1,0.75,4,15,1,0.75,1,0,1,0,1,0,4,1,6,4,3,0.5,6,4,6,4,NA,25,14,0,100,139,99,85,85,44,49,0,0,0,0,0,21,22,43,NA,NA,NA,NA,"March 17, 2019",1,35.75,98.75,134.5,210.25,31
"53",545,6,180,4,15,6,180,5,75,2,1,7,6,7,6,6,4,6,180,6,180,5,75,6,180,3,4,3,0.5,4,1,6,4,7,6,3,0.5,2,0.17,6,4,5,1.5,0,23,18,0,100,36,13,16,5,37,42,0,0,0,1,1,36,28,64,NA,NA,NA,NA,"July 7, 2019",0,446,280,726,376.17,36
"54",546,4,15,1,0.75,5,75,4,15,1,0.75,7,6,7,6,1,0,4,15,6,180,1,0.75,5,75,1,0.75,1,0,4,1,6,4,3,0.5,3,0.5,1,0,1,0,3,0.5,NA,21,16,0,25,38,31,7,5,22,27,1,1,0,0,0,25,17,42,NA,NA,NA,NA,"July 6, 2019",0,260.75,36.75,297.5,98.5,24
"55",547,4,15,4,15,7,270,3,4,4,15,7,6,7,6,1,0,6,180,6,180,4,15,6,180,1,0.75,1,0,1,0,1,0,7,6,1,0,1,0,7,6,6,4,NA,20,18,1,40,75,84,28,20,43,48,1,1,0,1,1,26,19,45,NA,NA,NA,NA,"August 22, 2019",0,381,40,421,477.75,34
"56",548,4,15,4,15,7,270,3,4,4,15,7,6,7,6,1,0,6,180,5,75,3,4,4,15,1,0.75,2,0.17,2,0.17,1,0,7,6,2,0.17,2,0.17,6,4,5,1.5,NA,29,16,1,100,118,52,86,40,39,52,0,0,0,0,0,24,19,43,NA,NA,NA,NA,"November 26, 2018",1,100.34,40,140.34,476.09,35
"57",549,5,75,5,75,6,180,4,15,5,75,7,6,7,6,1,0,6,180,5,75,3,4,5,75,4,15,1,0,2,0.17,1,0,6,4,1,0,3,0.5,6,4,6,4,NA,22,18,1,95,60,35,57,50,8,41,0,0,0,1,0,22,22,44,NA,NA,NA,NA,"June 28, 2019",0,158,171,329,460.67,39
"58",552,6,180,5,75,7,270,3,4,3,4,7,6,7,6,4,1,7,270,5,75,5,75,5,75,3,4,1,0,2,0.17,1,0,6,4,6,4,6,4,6,4,6,4,NA,22,18,1,100,53,23,55,45,47,48,0,0,0,1,0,29,25,54,NA,NA,NA,NA,"June 18, 2019",0,233,266,499,562.17,41
"59",554,7,270,6,180,7,270,5,75,4,15,7,6,7,6,2,0.17,7,270,7,270,6,180,7,270,4,15,1,0,1,0,6,4,2,0.17,2,0.17,1,0,7,6,4,1,NA,25,18,1,70,82,33,36,5,32,43,1,1,0,1,1,31,27,58,NA,NA,NA,NA,"March 13, 2019",1,724.34,531.17,1255.51,582,38
"60",555,4,15,6,180,7,270,7,270,3,4,7,6,7,6,1,0,6,180,7,270,6,180,6,180,7,270,1,0,1,0,1,0,7,6,2,0.17,7,6,7,6,7,6,NA,25,14,1,90,139,98.5,100,99,53,52,0,0,0,0,0,30,25,55,NA,NA,NA,NA,"April 4, 2019",0,636.17,471,1107.17,742,45
"61",558,4,15,5,75,5,75,3,4,4,15,7,6,7,6,1,0,5,75,6,180,4,15,4,15,3,4,2,0.17,3,0.5,6,4,7,6,1,0,4,1,6,4,3,0.5,NA,27,18,0,99,126,92.5,91,85,47,42,0,0,0,1,0,30,20,50,NA,NA,NA,NA,"January 16, 2019",1,220.17,100,320.17,180.5,37
"62",559,5,75,5,75,5,75,2,1,6,180,7,6,7,6,1,0,5,75,5,75,1,0.75,6,180,5,75,2,0.17,1,0,1,0,3,0.5,1,0,3,0.5,3,0.5,3,0.5,NA,25,18,1,90,123,93,74,50,48,49,0,0,0,1,0,19,20,39,NA,NA,NA,NA,"March 19, 2019",1,256.42,157,413.42,412,35
"63",560,5,75,4,15,7,270,3,4,5,75,7,6,7,6,7,6,5,75,6,180,4,15,6,180,3,4,3,0.5,2,0.17,2,0.17,1,0,4,1,1,0,3,0.5,3,0.5,NA,20,18,0,100,54,67,42,65,40,42,0,0,0,1,1,26,26,52,NA,NA,NA,NA,"August 23, 2019",0,376.67,106,482.67,430.67,33
"64",562,6,180,5,75,5,75,2,1,3,4,1,0,7,6,1,0,5,75,5,75,2,1,5,75,1,0.75,1,0,1,0,1,0,7,6,1,0,2,0.17,3,0.5,2,0.17,2,22,18,1,100,81,72,73,80,34,42,0,0,0,1,0,22,21,43,NA,NA,NA,NA,"July 3, 2019",0,157,262,419,155.42,21
"65",565,5,75,5,75,5,75,4,15,4,15,7,6,7,6,1,0,5,75,5,75,4,15,5,75,2,1,1,0,1,0,6,4,6,4,1,0,1,0,6,4,6,4,2,18,18,1,100,32,35,28,40,4,30,0,0,0,1,0,28,22,50,NA,NA,NA,NA,"November 12, 2019",0,173,171,344,176,31
"66",568,5,75,1,0.75,4,15,2,1,2,1,7,6,7,6,1,0,5,75,5,75,2,1,5,75,1,0.75,1,0,1,0,1,0,1,0,1,0,1,0,2,0.17,2,0.17,4,18,18,0,90,26,39,18,45,18,21,0,1,0,1,0,16,16,32,NA,NA,NA,NA,"December 2, 2019",0,151,82.75,233.75,97.92,23
"67",569,4,15,4,15,5,75,4,15,4,15,7,6,7,6,1,0,5,75,6,180,4,15,5,75,4,15,1,0,1,0,1,0,7,6,2,0.17,2,0.17,6,4,4,1,3,22,18,1,100,92,87,69,65,49,44,0,0,0,1,0,26,20,46,NA,NA,NA,NA,"July 3, 2019",0,276.17,51,327.17,190.17,34
"68",571,5,75,5,75,7,270,4,15,4,15,7,6,7,6,1,0,7,270,7,270,4,15,6,180,1,0.75,1,0,2,0.17,1,0,7,6,3,0.5,7,6,7,6,7,6,3,21,18,1,100,77,78,50,45,24,51,0,0,0,1,0,29,22,51,NA,NA,NA,NA,"August 15, 2019",0,471.5,171,642.5,573.92,42
"69",572,5,75,1,0.75,4,15,2,1,2,1,6,4,7,6,1,0,2,1,1,0.75,1,0.75,4,15,3,4,1,0,1,0,1,0,2,0.17,2,0.17,2,0.17,3,0.5,2,0.17,4,21,18,1,50,14,1.5,4,5,33,44,1,1,0,1,0,12,16,28,NA,NA,NA,NA,"August 23, 2019",0,16.84,82.75,99.59,25.67,23
"70",574,5,75,5,75,5,75,5,75,4,15,7,6,7,6,6,4,5,75,5,75,4,15,5,75,3,4,1,0,4,1,6,4,6,4,7,6,5,1.5,6,4,6,4,1,30,18,1,100,150,90,96,65,52,52,0,0,0,1,1,34,28,62,NA,NA,NA,NA,"December 15, 2018",1,179,235,414,181.5,39
